nimo_id,TIC,gaiadr3_source_id,group,num_sectors,Sector,name,lc_name
18,389248318,3341556922194703232,thor,7,71,FFI-200s,TIC-389248318-71-FFI-200s
23,302417241,,thor,7,71,FFI-200s,TIC-302417241-71-FFI-200s
24,302417238,3389908598860532224,thor,7,71,FFI-200s,TIC-302417238-71-FFI-200s
29,52583022,3341238918520502912,Thor,7,71,FFI-200s,TIC-52583022-71-FFI-200s
30,52373764,3341625087618092672,thor,7,71,FFI-200s,TIC-52373764-71-FFI-200s
32,436103626,3339935348702249472,thor,4,71,FFI-200s,TIC-436103626-71-FFI-200s
16,389248164,3341538436653898240,thor,7,72,FFI-200s,TIC-389248164-72-FFI-200s
18,389248318,3341556922194703232,thor,7,72,FFI-200s,TIC-389248318-72-FFI-200s
29,52583022,3341238918520502912,Thor,7,72,FFI-200s,TIC-52583022-72-FFI-200s
30,52373764,3341625087618092672,thor,7,72,FFI-200s,TIC-52373764-72-FFI-200s
32,436103626,3339935348702249472,thor,4,72,FFI-200s,TIC-436103626-72-FFI-200s
1,350559457,4767439021687332096,car,45,87,SPOC-120,TIC-350559457-87-SPOC-120
1,350559457,4767439021687332096,car,45,88,SPOC-120,TIC-350559457-88-SPOC-120
1,350559457,4767439021687332096,car,45,89,SPOC-120,TIC-350559457-89-SPOC-120
55,71029363,,twa,8,89,FFI-200s,TIC-71029363-89-FFI-200s
1,350559457,4767439021687332096,car,45,90,SPOC-120,TIC-350559457-90-SPOC-120
33,152176559,5396105586807802880,twa,5,90,SPOC-120,TIC-152176559-90-SPOC-120
34,429152614,3485098646237003136,twa,7,90,SPOC-120,TIC-429152614-90-SPOC-120
35,57513388,5398663566249861120,twa,6,90,SPOC-120,TIC-57513388-90-SPOC-120
36,29847084,5400050222210919680,twa,7,90,FFI-200s,TIC-29847084-90-FFI-200s
37,23325655,5452498541764280832,twa,5,90,FFI-200s,TIC-23325655-90-FFI-200s
38,20414865,3532218595001808768,twa,5,90,FFI-200s,TIC-20414865-90-FFI-200s
39,429152610,3485098646237003392,twa,7,90,SPOC-120,TIC-429152610-90-SPOC-120
42,142391477,3466308095597260032,twa,6,90,SPOC-120,TIC-142391477-90-SPOC-120
43,272349442,5355751581627180288,twa,8,90,SPOC-120,TIC-272349442-90-SPOC-120
46,134976537,6151330196594603648,twa,6,90,FFI-200s,TIC-134976537-90-FFI-200s
47,188172972,5470330146463996032,twa,5,90,FFI-200s,TIC-188172972-90-FFI-200s
50,91474691,5348165127505382400,twa,7,90,SPOC-120,TIC-91474691-90-SPOC-120
52,54147487,5444751795151480320,twa,6,90,FFI-200s,TIC-54147487-90-FFI-200s
53,389253973,5378040370245563008,twa,7,90,SPOC-120,TIC-389253973-90-SPOC-120
54,142173958,3465944500845668224,twa,5,90,SPOC-120,TIC-142173958-90-SPOC-120
56,180258068,3567379121431731328,twa,4,90,SPOC-120,TIC-180258068-90-SPOC-120
57,345135733,3463395519358168064,twa,6,90,SPOC-120,TIC-345135733-90-SPOC-120
58,102462453,5414158429569765632,twa,6,90,SPOC-120,TIC-102462453-90-SPOC-120
59,151764983,,twa,7,90,FFI-200s,TIC-151764983-90-FFI-200s
1,350559457,4767439021687332096,car,45,93,FFI-200s,TIC-350559457-93-FFI-200s
1,350559457,4767439021687332096,car,45,94,SPOC-120,TIC-350559457-94-SPOC-120
1,350559457,4767439021687332096,car,45,95,SPOC-120,TIC-350559457-95-SPOC-120
1,350559457,4767439021687332096,car,45,96,FFI-200s,TIC-350559457-96-FFI-200s
1,350559457,4767439021687332096,car,45,97,SPOC-120,TIC-350559457-97-SPOC-120
