pop_id,lcname,idtype,ID,secorcamp,author,cadence,fluxamplitude
76,TIC-465268712-37-FFI-10min,TIC,465268712,37,FFI,10min,0.011332356914632968
76,TIC-465268712-38-FFI-10min,TIC,465268712,38,FFI,10min,0.01185042999446606
76,TIC-465268712-64-FFI-200s,TIC,465268712,64,FFI,200s,0.015899113032730394
76,TIC-465268712-65-FFI-200s,TIC,465268712,65,FFI,200s,0.014546019115232567
76,TIC-465268712-90-FFI-200s,TIC,465268712,90,FFI,200s,0.01383235148788986
77,TIC-370829038-9-FFI-30min,TIC,370829038,9,FFI,30min,0.0638674588331185
77,TIC-370829038-10-FFI-30min,TIC,370829038,10,FFI,30min,0.0672001250596006
77,TIC-370829038-11-FFI-30min,TIC,370829038,11,FFI,30min,0.05538062551863465
77,TIC-370829038-36-FFI-10min,TIC,370829038,36,FFI,10min,0.052516558515529055
77,TIC-370829038-37-FFI-10min,TIC,370829038,37,FFI,10min,6.632455241087904
77,TIC-370829038-38-FFI-10min,TIC,370829038,38,FFI,10min,0.04710142897075842
77,TIC-370829038-63-FFI-200s,TIC,370829038,63,FFI,200s,0.061035849844009116
77,TIC-370829038-64-FFI-200s,TIC,370829038,64,FFI,200s,0.05405135881820966
77,TIC-370829038-65-FFI-200s,TIC,370829038,65,FFI,200s,7.765166195554832
77,TIC-370829038-90-SPOC-120,TIC,370829038,90,SPOC,120,0.09631652235984789
78,TIC-342456426-8-FFI-30min,TIC,342456426,8,FFI,30min,0.017196577701615312
78,TIC-342456426-9-FFI-30min,TIC,342456426,9,FFI,30min,0.01845363850203674
78,TIC-342456426-10-FFI-30min,TIC,342456426,10,FFI,30min,0.019629265764042336
78,TIC-342456426-34-FFI-10min,TIC,342456426,34,FFI,10min,0.018966567011593827
78,TIC-342456426-35-FFI-10min,TIC,342456426,35,FFI,10min,0.023011545523787147
78,TIC-342456426-36-FFI-10min,TIC,342456426,36,FFI,10min,0.02145288865240569
78,TIC-342456426-61-SPOC-120,TIC,342456426,61,SPOC,120,0.050872623920440674
78,TIC-342456426-62-SPOC-120,TIC,342456426,62,SPOC,120,0.050070452690124556
78,TIC-342456426-63-SPOC-120,TIC,342456426,63,SPOC,120,0.05053560137748714
78,TIC-342456426-88-SPOC-120,TIC,342456426,88,SPOC,120,0.06435193419456486
78,TIC-342456426-89-SPOC-120,TIC,342456426,89,SPOC,120,0.061385273933410645
78,TIC-342456426-90-SPOC-120,TIC,342456426,90,SPOC,120,0.06395313143730164
79,TIC-92740519-8-FFI-30min,TIC,92740519,8,FFI,30min,0.034454008680905646
79,TIC-92740519-9-FFI-30min,TIC,92740519,9,FFI,30min,0.03427896020093457
79,TIC-92740519-35-FFI-10min,TIC,92740519,35,FFI,10min,0.02618938671072102
79,TIC-92740519-36-FFI-10min,TIC,92740519,36,FFI,10min,0.036584009563968345
79,TIC-92740519-61-FFI-200s,TIC,92740519,61,FFI,200s,0.027640287460500068
79,TIC-92740519-62-FFI-200s,TIC,92740519,62,FFI,200s,0.029050002213304005
79,TIC-92740519-88-FFI-200s,TIC,92740519,88,FFI,200s,8.087830713252073
