pop_id,lcname,complex_status
163,TIC-412376096-64-FFI-200s,Double Dip
163,TIC-412376096-65-FFI-200s,Complex
164,TIC-258583707-11-FFI-30min,Complex
164,TIC-258583707-37-FFI-10min,Complex
164,TIC-258583707-64-FFI-200s,Complex
165,TIC-438709950-11-FFI-30min,Complex
165,TIC-438709950-37-FFI-10min,Double Dip
165,TIC-438709950-38-FFI-10min,Complex
165,TIC-438709950-64-FFI-200s,Complex
166,TIC-241375625-11-FFI-30min,Complex
166,TIC-241375625-38-FFI-10min,Complex
166,TIC-241375625-64-FFI-200s,Complex
166,TIC-241375625-65-FFI-200s,Complex
167,TIC-179368022-11-FFI-30min,Not Complex
167,TIC-179368022-38-FFI-10min,Complex
167,TIC-179368022-64-FFI-200s,Complex
168,TIC-241841997-11-FFI-30min,Not Complex
168,TIC-241841997-38-FFI-10min,Complex
168,TIC-241841997-65-FFI-200s,Complex
169,TIC-334325329-11-FFI-30min,Complex
169,TIC-334325329-38-FFI-10min,Not Complex
169,TIC-334325329-65-SPOC-120,Complex
17,EPIC-204367193-2-EVEREST-1800,Complex
17,EPIC-204367193-2-K2SFF-1800,Complex
17,TIC-49198167-91-SPOC-120,Complex
170,TIC-334838280-11-FFI-30min,Complex
170,TIC-334838280-38-FFI-10min,Complex
170,TIC-334838280-65-FFI-200s,Double Dip
171,TIC-366178112-11-FFI-30min,Complex
171,TIC-366178112-38-FFI-10min,Complex
171,TIC-366178112-65-SPOC-120,Complex
172,TIC-160539036-11-FFI-30min,Complex
172,TIC-160539036-38-FFI-10min,Complex
172,TIC-160539036-65-FFI-200s,Complex
173,TIC-140765939-11-FFI-30min,Complex
173,TIC-140765939-38-FFI-10min,Complex
173,TIC-140765939-65-FFI-200s,Complex
174,TIC-76698847-11-FFI-30min,Complex
174,TIC-76698847-38-FFI-10min,Complex
174,TIC-76698847-65-FFI-200s,Complex
175,TIC-173267960-12-FFI-30min,Complex
175,TIC-173267960-38-FFI-10min,Complex
175,TIC-173267960-65-FFI-200s,Complex
176,TIC-179357494-12-FFI-30min,Complex
176,TIC-179357494-38-FFI-10min,Complex
176,TIC-179357494-65-FFI-200s,Complex
177,TIC-442575691-12-FFI-30min,Complex
177,TIC-442575691-38-FFI-10min,Complex
177,TIC-442575691-65-FFI-200s,Complex
177,TIC-442575691-91-FFI-200s,
178,TIC-84187344-12-FFI-30min,Complex
178,TIC-84187344-39-FFI-10min,Complex
178,TIC-84187344-66-FFI-200s,Complex
178,TIC-84187344-93-FFI-200s,Not Complex
179,TIC-85125492-12-FFI-30min,Not Complex
179,TIC-85125492-39-FFI-10min,Complex
179,TIC-85125492-66-FFI-200s,Double Dip
179,TIC-85125492-93-FFI-200s,Complex
18,EPIC-205110559-2-EVEREST-1800,Complex
18,EPIC-205110559-2-K2SFF-1800,Complex
18,TIC-49518818-91-SPOC-120,Complex
180,TIC-85356121-12-FFI-30min,Complex
180,TIC-85356121-39-FFI-10min,Not Complex
180,TIC-85356121-66-FFI-200s,Complex
180,TIC-85356121-93-FFI-200s,Complex
181,TIC-97239026-12-FFI-30min,Complex
181,TIC-97239026-39-FFI-10min,Complex
181,TIC-97239026-66-FFI-200s,Complex
181,TIC-97239026-91-SPOC-120,Complex
181,TIC-97239026-93-FFI-200s,Complex
182,TIC-337243787-12-FFI-30min,Complex
182,TIC-337243787-39-FFI-10min,Complex
182,TIC-337243787-66-FFI-200s,Complex
182,TIC-337243787-93-FFI-200s,Complex
183,TIC-65347864-3-SPOC-120,Complex
183,TIC-65347864-30-FFI-10min,Complex
183,TIC-65347864-31-FFI-10min,Complex
183,TIC-65347864-4-SPOC-120,Complex
184,EPIC-210818897-4-EVEREST-1800,Double Dip
184,EPIC-210818897-4-K2SFF-1800,Complex
184,TIC-15756231-43-SPOC-120,Double Dip
184,TIC-15756231-44-SPOC-120,Not Complex
184,TIC-15756231-70-FFI-200s,Complex
185,EPIC-210783336-4-EVEREST-1800,Not Complex
185,EPIC-210783336-4-K2SFF-1800,Complex
185,TIC-16005843-43-SPOC-120,Not Complex
185,TIC-16005843-44-SPOC-120,Not Complex
185,TIC-16005843-70-FFI-200s,Not Complex
185,TIC-16005843-71-FFI-200s,Not Complex
186,EPIC-247454835-13-EVEREST-1800,Not Complex
186,EPIC-247454835-13-K2SFF-1800,Double Dip
186,TIC-456946694-43-SPOC-120,Not Complex
186,TIC-456946694-44-SPOC-120,Not Complex
186,TIC-456946694-70-SPOC-120,Double Dip
186,TIC-456946694-71-SPOC-120,Not Complex
187,EPIC-210690598-13-K2SFF-1800,Complex
187,TIC-353752577-43-SPOC-120,Complex
